run_id,script,table,model,timestamp_utc,row_id,entity_id,reporting_year,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_s,status,error_msg
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:28:51,POLREF-ENT-LU-009-2021,ENT-LU-009,2021,462,313,775,0.000257,6.995,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:29:01,POLREF-ENT-LU-009-2022,ENT-LU-009,2022,462,329,791,0.000267,8.87,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:29:11,POLREF-ENT-LU-009-2023,ENT-LU-009,2023,462,316,778,0.000259,9.966,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:29:18,POLREF-ENT-LU-009-2024,ENT-LU-009,2024,479,284,763,0.000242,6.569,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:29:28,POLREF-ENT-US-010-2019,ENT-US-010,2019,470,352,822,0.000282,8.656,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:29:39,POLREF-ENT-US-010-2020,ENT-US-010,2020,470,425,895,0.000325,10.844,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:29:49,POLREF-ENT-US-010-2021,ENT-US-010,2021,470,343,813,0.000276,9.332,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:29:59,POLREF-ENT-US-010-2022,ENT-US-010,2022,470,406,876,0.000314,9.887,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:30:08,POLREF-ENT-US-010-2023,ENT-US-010,2023,470,365,835,0.000289,8.834,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:30:19,POLREF-ENT-US-010-2024,ENT-US-010,2024,487,308,795,0.000258,9.551,ok,
